N   종목명   현재가   전일비   등락률   액면가   시가총액   상장주식수   외국인비율   거래량   PER   ROE   토론실
1,삼성전자,"71,600","1,000",-1.38%,100,"4,274,364","5,969,783",53.61,"4,893,342",15.22,17.07,
2,LG에너지솔루션,"432,000","2,000",+0.47%,500,"1,010,880","234,000",4.53,"75,466",66.44,5.75,
3,SK하이닉스,"126,500","4,600",-3.51%,"5,000","920,923","728,002",52.83,"2,086,848",-8.02,3.56,
4,삼성바이오로직스,"710,000","2,000",-0.28%,"2,500","505,335","71,174",10.20,"12,213",53.93,11.42,
5,삼성전자우,"58,100",600,-1.02%,100,"478,097","822,887",72.79,"498,325",12.35,N/A,
6,POSCO홀딩스,"471,500","3,500",-0.74%,"5,000","398,753","84,571",26.48,"221,981",32.20,6.11,
7,현대차,"181,000",600,-0.33%,"5,000","382,872","211,532",32.88,"127,147",4.35,9.36,
8,NAVER,"214,000","3,500",+1.66%,100,"347,554","162,409",47.54,"460,791",41.43,3.29,
9,기아,"84,200",100,+0.12%,"5,000","338,521","402,044",38.63,"271,598",3.70,14.57,
10,LG화학,"474,000","1,000",+0.21%,"5,000","334,608","70,592",43.09,"107,673",28.48,6.95,
11,삼성SDI,"443,000","3,500",+0.80%,"5,000","304,627","68,765",45.08,"82,203",14.75,12.52,
12,포스코퓨처엠,"338,000","10,000",-2.87%,500,"261,826","77,463",5.65,"734,491",323.75,4.87,
13,셀트리온,"162,300",300,-0.18%,"1,000","237,612","146,403",20.42,"94,792",39.34,13.35,
14,카카오,"50,800",0,0.00%,100,"225,804","444,496",26.08,"531,788",518.37,13.54,
15,삼성물산,"120,400",100,-0.08%,100,"223,452","185,592",19.34,"43,086",9.82,7.16,
16,현대모비스,"226,000",500,+0.22%,"5,000","211,661","93,655",38.67,"28,191",6.24,6.80,
17,KB금융,"51,500",0,0.00%,"5,000","207,808","403,511",72.34,"236,368",4.42,9.17,
18,신한지주,"36,700",50,-0.14%,"5,000","189,190","515,504",60.13,"252,621",4.64,9.70,
19,LG전자,"101,700",100,+0.10%,"5,000","166,430","163,648",29.11,"155,918",27.33,6.61,
20,삼성생명,"69,300",200,-0.29%,500,"138,600","200,000",16.82,"31,934",5.54,5.73,
21,SK이노베이션,"136,100",300,+0.22%,"5,000","136,992","100,656",21.37,"88,770",-55.10,8.49,
22,LG,"82,200",200,-0.24%,"5,000","129,301","157,301",36.27,"46,316",12.40,8.48,
23,삼성에스디에스,"164,700","1,000",+0.61%,500,"127,441","77,378",16.18,"50,561",16.02,14.23,
24,한국전력,"19,210",80,+0.42%,"5,000","123,321","641,964",13.92,"385,259",-0.89,-46.91,
25,SK,"168,400","1,100",+0.66%,200,"123,266","73,198",22.78,"44,349",-15.76,5.13,
26,삼성화재,"257,500",0,0.00%,500,"121,990","47,375",53.44,"17,834",7.15,9.70,
27,하나금융지주,"41,700",0,0.00%,"5,000","121,913","292,357",68.93,"143,134",3.35,10.06,
28,KT&G,"90,100","1,100",+1.24%,"5,000","120,574","133,822",42.23,"110,637",16.87,11.00,
29,카카오뱅크,"25,250",150,-0.59%,"5,000","120,401","476,837",15.51,"241,126",35.41,4.68,
30,HD현대중공업,"133,100",700,-0.52%,"5,000","118,157","88,773",7.29,"53,796",-70.27,-6.47,
31,메리츠금융지주,"56,600",600,+1.07%,500,"117,851","208,218",16.85,"95,329",5.23,30.32,
32,HMM,"16,300",480,-2.86%,"5,000","112,313","689,039",9.08,"1,215,270",3.76,64.98,
33,SK텔레콤,"50,800",200,+0.40%,100,"111,167","218,833",41.77,"172,054",9.84,7.97,
34,고려아연,"530,000","12,000",+2.32%,"5,000","110,816","20,909",18.29,"25,322",17.72,9.38,
35,삼성전기,"146,600","1,500",+1.03%,"5,000","109,501","74,694",30.53,"87,994",23.14,13.76,
36,크래프톤,"212,500","5,500",-2.52%,100,"102,771","48,363",32.41,"35,529",23.47,10.29,
37,두산에너빌리티,"15,900",290,+1.86%,"5,000","101,849","640,561",13.30,"1,652,501",-23.77,-11.70,
38,우리금융지주,"12,890",20,+0.16%,"5,000","96,926","751,949",37.65,"334,282",3.24,11.51,
39,포스코인터내셔널,"54,300",600,-1.09%,"5,000","95,526","175,923",6.42,"314,077",12.68,15.79,
40,기업은행,"11,820",20,+0.17%,"5,000","94,256","797,426",14.06,"228,455",3.28,9.85,
41,에코프로머티,"136,400","1,100",-0.80%,500,"93,062","68,227",0.60,"975,151",463.95,6.77,
42,하이브,"213,000","4,000",+1.91%,500,"88,719","41,652",20.67,"94,484",115.07,1.87,
43,KT,"34,100",500,+1.49%,"5,000","87,931","257,861",42.80,"536,900",7.42,7.99,
44,대한항공,"22,550",50,-0.22%,"5,000","83,034","368,221",16.30,"175,171",6.17,21.95,
45,HD한국조선해양,"114,600",100,+0.09%,"5,000","81,106","70,773",25.42,"69,137",53.93,-2.22,
46,한화오션,"25,850","1,100",-4.08%,"5,000","79,194","306,359",9.96,"915,890",-8.05,-117.79,
47,S-Oil,"68,900",200,-0.29%,"2,500","77,570","112,583",76.85,"53,267",7.90,27.20,
48,아모레퍼시픽,"129,700","2,500",+1.97%,500,"75,865","58,493",27.19,"49,366",55.62,2.81,
49,TIGER CD금리투자KIS(합성),"53,435",5,+0.01%,0,"75,260","140,844",0.02,"78,668",N/A,N/A,
50,삼성중공업,"8,160",20,+0.25%,"1,000","71,808","880,000",19.90,"1,349,262",-35.02,-16.08,
